# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
3845 -0.212851 -0.0598392 -0.123093 -0.395783
3850 -0.296666 -0.0723732 -0.132653 -0.501692
3855 -0.368709 -0.0830767 -0.136465 -0.58825
3860 -0.42563 -0.0937778 -0.135764 -0.655172
3865 -0.465083 -0.105034 -0.131905 -0.702023
3870 -0.485607 -0.116588 -0.126267 -0.728462
3875 -0.486144 -0.127515 -0.120042 -0.733701
3880 -0.465994 -0.136028 -0.113834 -0.715856
3885 -0.42526 -0.140219 -0.108277 -0.673756
3890 -0.365309 -0.138849 -0.10384 -0.607998
3895 -0.289146 -0.131613 -0.100697 -0.521456
3900 -0.201342 -0.119295 -0.0989153 -0.419552
3905 -0.107414 -0.102973 -0.0983456 -0.308732
3910 -0.0129835 -0.0837145 -0.0986366 -0.195335
3915 0.0771106 -0.0625851 -0.0992172 -0.0846916
3920 0.158917 -0.0402699 -0.0995694 0.0190779
3925 0.229285 -0.016988 -0.0996339 0.112663
3930 0.286073 0.00735837 -0.0994242 0.194007
3935 0.328092 0.0325344 -0.0984043 0.262222
3940 0.354991 0.0579524 -0.0956748 0.317269
3945 0.366709 0.0829329 -0.0900684 0.359573
3950 0.363575 0.10723 -0.0800786 0.390726
3955 0.346508 0.131179 -0.0643583 0.413328
3960 0.317393 0.155228 -0.0417957 0.430825
3965 0.278902 0.180154 -0.012113 0.446943
3970 0.234508 0.206874 0.0238523 0.465234
3975 0.187837 0.235439 0.064306 0.487582
3980 0.142015 0.264372 0.106819 0.513207
3985 0.0999261 0.291136 0.148872 0.539934
3990 0.0640605 0.313201 0.188529 0.56579
3995 0.0358095 0.328453 0.224597 0.58886
4000 0.015216 0.335336 0.256192 0.606744
4005 0.00141958 0.332961 0.282149 0.61653
4010 -0.00692922 0.32101 0.300605 0.614686
4015 -0.010838 0.299727 0.3089 0.597789
4020 -0.0109932 0.270383 0.304518 0.563908
4025 -0.00799951 0.23487 0.286336 0.513206
4030 -0.00300456 0.19512 0.254551 0.446667
4035 0.00223243 0.152818 0.211121 0.366171
4040 0.00560339 0.10916 0.15993 0.274694
4045 0.00476654 0.0650806 0.106187 0.176035
4050 -0.00221589 0.021038 0.0551438 0.0739659
4055 -0.0160497 -0.0231618 0.0109403 -0.0282713
4060 -0.0359435 -0.0679052 -0.0239682 -0.127817
4065 -0.0600732 -0.112998 -0.0485643 -0.221635
4070 -0.0864092 -0.157633 -0.0623061 -0.306349
4075 -0.113115 -0.200315 -0.0655846 -0.379015
4080 -0.138601 -0.238838 -0.0596434 -0.437083
4085 -0.161493 -0.270534 -0.0458775 -0.477905
4090 -0.180556 -0.292641 -0.0260075 -0.499204
4095 -0.194451 -0.302149 -0.00217436 -0.498774
4100 -0.20222 -0.297313 0.0234463 -0.476087
4105 -0.203071 -0.278371 0.0486602 -0.432782
4110 -0.19636 -0.247407 0.0715019 -0.372265
4115 -0.181828 -0.207925 0.0897982 -0.299954
4120 -0.159641 -0.163889 0.101039 -0.222491
4125 -0.130036 -0.119484 0.103227 -0.146292
4130 -0.0930757 -0.0780152 0.0952131 -0.0758778
4135 -0.0494028 -0.0419538 0.0766389 -0.0147177
4140 -0.000753349 -0.0132508 0.0480083 0.0340042
4145 0.0505176 0.006914 0.0109184 0.06835
4150 0.101777 0.0178662 -0.0317603 0.0878834
4155 0.150085 0.0200209 -0.0759065 0.0941996
4160 0.192191 0.0148094 -0.117167 0.0898336
4165 0.225374 0.00427589 -0.151924 0.0777263
4170 0.247982 -0.00862377 -0.177701 0.0616571
4175 0.25952 -0.0208305 -0.193403 0.0452865
4180 0.260681 -0.0298621 -0.199137 0.0316823
4185 0.253033 -0.0342374 -0.195617 0.0231791
4190 0.238481 -0.0334994 -0.183977 0.0210049
4195 0.218845 -0.0275156 -0.165192 0.0261381
4200 0.19563 -0.0161837 -0.140127 0.0393188
4205 0.169926 0.000447835 -0.109663 0.0607106
4210 0.142451 0.0220157 -0.0745826 0.0898839
4215 0.113626 0.0478754 -0.0358284 0.125673
4220 0.0830945 0.0765599 0.00531501 0.164969
4225 0.0499576 0.105846 0.0472777 0.203082
4230 0.0135264 0.133263 0.088153 0.234943
4235 -0.0267673 0.155784 0.1257 0.254716
4240 -0.0709706 0.170409 0.157583 0.257021
4245 -0.118274 0.175067 0.181895 0.238687
4250 -0.167249 0.168884 0.197446 0.199081
4255 -0.215666 0.152151 0.203999 0.140484
4260 -0.26018 0.126294 0.202165 0.0682784
4265 -0.296724 0.0936896 0.193091 -0.0099428
4270 -0.321404 0.0569157 0.177832 -0.0866567
4275 -0.331342 0.0180376 0.157017 -0.156287
4280 -0.325446 -0.021657 0.130968 -0.216136
4285 -0.304633 -0.0614604 0.100112 -0.265981
4290 -0.271082 -0.10089 0.0650883 -0.306884
4295 -0.227692 -0.139252 0.0267545 -0.340189
4300 -0.178066 -0.175402 -0.0141943 -0.367661
4305 -0.126434 -0.207684 -0.0572599 -0.391378
4310 -0.0773483 -0.234175 -0.102048 -0.413571
4315 -0.0350246 -0.252907 -0.148152 -0.436083
4320 -0.00199096 -0.262081 -0.194896 -0.458967
4325 0.0211946 -0.260209 -0.241033 -0.480048
4330 0.0354083 -0.246717 -0.284587 -0.495897
4335 0.0420233 -0.222091 -0.323268 -0.503335
4340 0.0424898 -0.187933 -0.354923 -0.500366
4345 0.0377861 -0.146901 -0.377713 -0.486828
4350 0.028647 -0.102473 -0.390135 -0.463961
4355 0.0159717 -0.0582511 -0.390832 -0.433112
4360 0.000992862 -0.0173604 -0.378702 -0.39507
4365 -0.0149332 0.0178367 -0.353034 -0.350131
4370 -0.030355 0.0457384 -0.313592 -0.298209
4375 -0.0445498 0.0650783 -0.261304 -0.240776
4380 -0.0569186 0.0746206 -0.198619 -0.180917
4385 -0.0662417 0.0731809 -0.129047 -0.122108
4390 -0.0708801 0.0600942 -0.0565131 -0.067299
4395 -0.069104 0.0353511 0.0151691 -0.0185838
4400 -0.0594156 -0.000157003 0.0822081 0.0226355
4405 -0.0415617 -0.0443722 0.140632 0.0546979
4410 -0.0166446 -0.0943213 0.187028 0.076062
4415 0.0132055 -0.146015 0.218896 0.0860869
4420 0.044776 -0.194903 0.235004 0.0848766
4425 0.0744241 -0.236174 0.235856 0.0741071
4430 0.0991639 -0.265284 0.223282 0.0571622
4435 0.117399 -0.278601 0.199714 0.0385115
4440 0.128784 -0.273498 0.167099 0.0223845
4445 0.134302 -0.248466 0.126945 0.0127808
4450 0.135622 -0.203291 0.0808302 0.0131609
4455 0.134259 -0.139595 0.0308873 0.0255511
4460 0.131078 -0.0608471 -0.0197782 0.050453
4465 0.12629 0.0282755 -0.0673469 0.0872185
4470 0.119929 0.121932 -0.107973 0.133888
4475 0.11221 0.213558 -0.138349 0.187418
4480 0.103758 0.296609 -0.156088 0.244279
4485 0.0954477 0.365086 -0.159952 0.300582
4490 0.0881742 0.41415 -0.149924 0.3524
4495 0.0825256 0.440396 -0.126873 0.396048
4500 0.0788974 0.442194 -0.092664 0.428428
4505 0.0775895 0.419521 -0.0499787 0.447132
4510 0.0787507 0.374037 -0.00172507 0.451063
4515 0.0819399 0.308778 0.049269 0.439987
4520 0.0860967 0.227924 0.100326 0.414347
4525 0.0897289 0.136805 0.149268 0.375801
4530 0.0909742 0.041914 0.194232 0.32712
4535 0.0882774 -0.0498414 0.233067 0.271503
4540 0.0810861 -0.131793 0.263495 0.212788
4545 0.069951 -0.198027 0.282977 0.154901
4550 0.0562496 -0.243795 0.289624 0.102079
4555 0.0412346 -0.266037 0.283039 0.0582367
4560 0.0255539 -0.263146 0.264317 0.0267253
4565 0.00964344 -0.235198 0.236086 0.010532
4570 -0.00592358 -0.184363 0.20131 0.0110243
4575 -0.0205998 -0.114844 0.162595 0.0271511
4580 -0.0332514 -0.0322531 0.12179 0.0562859
4585 -0.0421162 0.0564889 0.0800557 0.0944283
4590 -0.045226 0.143667 0.0385381 0.136979
4595 -0.0417164 0.221841 -0.00118905 0.178935
4600 -0.0322923 0.284484 -0.0369105 0.215281
4605 -0.0189203 0.32653 -0.0662491 0.241361
